Profile Family,Stock Code,New Description,Image
Cove Flexible,CO-100513,"Cove Profile Flexible
 White, 1Mtr,
 L1000*W13*H5mm.",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FqYXHbx1g%2Fcove-flexible-1.png&output=webp&q=78
Cove Flexible,CO-152027,"Cove Profile Flexible
 White, 1Mtr,
 L1000*W27*H20MM",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FVpYZh4Z3%2Fcove-flexible-2.png&output=webp&q=78
Cove,CO-101616,"Cove Profile
 White, 1Mtr,
 L1000*W16*H16mm.",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FCKMnX9KT%2Fcove-profile.png&output=webp&q=78
Under Cabinet,FR-040818,"Under Cabinet
 Grey & White Diffuser, 1Mtr,
 L1000*W08*H18MM",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F8Svqyzj%2Funder-cabnet-1.png&output=webp&q=78
Under Cabinet,FR-041011/CH,"Under Cabinet
 Champagne & White Diffuser, 1Mtr,
 L1000*W12*H10mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FgMQn2k3G%2Funder-cab3-cham.png&output=webp&q=78
Under Cabinet,FR-041011/BL,"Under Cabinet
 Black & White Diffuser, 1Mtr,
 L1000*W12*H10mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FpBnWFc1d%2Funder-cabnet-3.png&output=webp&q=78
Under Cabinet,FR-051009,"Under Cabinet
 Iron Grey & White Diffuser, 1Mtr,
 L1000*W12*H10mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FXZQgk8WR%2Funder-cabnet-2.png&output=webp&q=78
Wide Recessed,FR-181431,"Wide Recessed
 White & White Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FW4RtTKtZ%2Fwide-recessed-WW.png&output=webp&q=78
Wide Recessed,FR-181431/BW,"Wide Recessed 
 Black & White Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FnNZ5GpCp%2Fwide-recessed-BW.png&output=webp&q=78
Wide Recessed,FR-181431/BB,"Wide Recessed 
 Black & Black Diffuser, 1Mtr,
 L1000*W23.5*H13.6mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2Fqh5CxZC%2Fwide-recessed-BB.png&output=webp&q=78
Slim Recessed,FR-051213T,"Slim Recessed
 White &White Diffuser, 1Mtr,
 L1000* W7.8*H12mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FbDYcV5m%2Fslim-recessed-WW.png&output=webp&q=78
Slim Recessed,FR-051213T/BW,"Slim Recessed
 Black &White Diffuser, 1Mtr,
 L1000* W7.8*H12mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FLd4qzsgc%2Fslim-recessed-BW.png&output=webp&q=78
Slim Recessed,FR-051213T/BB,"Slim Recessed
 Black & Black Diffuser, 1Mtr,
 L1000* W7.8*H12mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FRkvLdWp4%2Fslim-recessed-BB.png&output=webp&q=78
Slim Trimless,FR-050908T,"Slim Trimless
 White & White Diffuser, 1Mtr,
 L1000* W8*H9mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FqMj0kvn1%2Fslim-trimless-WW.png&output=webp&q=78
Slim Trimless,FR-050908T/WB,"Slim Trimless
 White & Black Diffuser, 1Mtr,
 L1000* W8*H9mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FrfQgfSgq%2Fslim-trimless-WB.png&output=webp&q=78
Thin Recessed,FR-120823T,"Thin Recessed 
 White &White Diffuser, 1Mtr,
 L1000*W17.1*H8mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F1tCNqhND%2Fthin-recessed-WW.png&output=webp&q=78
Thin Recessed,FR-120823T/BW,"Thin Recessed 
 Black & White Diffuser, 1Mtr,
 L1000*W17.1*H8mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F5WxmwnND%2Fthin-recessed-BW.png&output=webp&q=78
Thin Recessed,FR-120823T/BB,"Thin Recessed 
 Black & Black Diffuser, 1Mtr,
 L1000*W17.1*H8mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FnNq78R6F%2Fthin-recessed-BB.png&output=webp&q=78
Thin Surface,FR-131617,"Thin Surface
 White & White Diffuser, 1Mtr,
 L1000*W17*H15mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F1tFzC2cG%2Fthin-surface-WW.png&output=webp&q=78
Thin Surface,FR-131617/BB,"Thin Surface
 Black & Black Diffuser, 1Mtr,
 L1000*W17*H15mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F35rZ8YxH%2Fthin-surface-BB.png&output=webp&q=78
Thin Surface,FR-131617/WB,"Thin Surface
 White & Black Diffuser, 1Mtr,
 L1000*W17*H15mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2Fj9pY6bFG%2Fthin-surface-WB.png&output=webp&q=78
Wide Surface,FR-201623,"Wide Surface
 White & White Diffuser, 1Mtr,
 L1000*W23.5*H15mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F7dwfgGxY%2Fwide-surface-WW.png&output=webp&q=78
Wide Surface,FR-201623/BB,"Wide Surface
 Black & Black Diffuser, 1Mtr,
 L1000*W23.5*H15mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F3y8h8k4c%2Fwide-surface-BB.png&output=webp&q=78
Wide Surface,FR-201623/WB,"Wide Surface
 White & Black Diffuser, 1Mtr,
 L1000*W23.5*H15mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FQFJVwPcy%2Fwide-surface-WB.png&output=webp&q=78
Ceiling,CR-253550T,"Ceiling Recessed
 White & White diffuser, 1Mtr,
 L1000*W50*H35mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FqFFDXkjv%2Fcelling-recessed-W.png&output=webp&q=78
Ceiling,CR-253550T/BW,"Ceiling Recessed
 Black & White diffuser, 1Mtr,
 L1000*W50*H35mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FnNZ5GpCp%2Fwide-recessed-BW.png&output=webp&q=78
Ceiling,CR-253550T/BB,"Ceiling Recessed
 Black & Black diffuser, 1Mtr,
 L1000*W50*H35mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2Fqh5CxZC%2Fwide-recessed-BB.png&output=webp&q=78
Ceiling,CR-253535,"Ceiling Trimless
 White & White diffuser, 1Mtr,
 L1000*W35*H35mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2Fym2bBn0t%2Fceiling-trimless-WW.png&output=webp&q=78
Ceiling,CR-253535/BB,"Ceiling Trimless
 Black & Black diffuser, 1Mtr,
 L1000*W35*H35mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F4gYtrZVF%2Fcelling-trimless-bb.png&output=webp&q=78
Ceiling,CR-253535/WB,"Ceiling Trimless
 White & Black diffuser, 1Mtr,
 L1000*W35*H35mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FMxCXqpBF%2Fceiling-trimless-WB.png&output=webp&q=78
Grazer,GR-122015,"Curtain Grazer
 White, 1Mtr,
  L1000*W17.1*H20mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FqMs3vcCY%2Fcurtain-grazer.png&output=webp&q=78
Wall Mounted UP/DOWN Profile,WW-121848TD,"Wall mounted 
 White & White diffuser, 1Mtr,
  L1000*W48.5*H17.7mm",https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2Fbk11K8q%2Fwall-mounted-WW.png&output=webp&q=78
